Kota/Kabupaten,Kecamatan,Nama Sekolah,NPSN,BP,Status,Tahun Akreditasi,Nilai Akreditasi,Peringkat Akreditasi,Last Sync,Jml Sync,PD,Rombel,Guru,Pegawai,R. Kelas,R. Lab,R. Perpus
Jakarta Barat,Cengkareng,TK KALAM KUDUS III,20111009,TK,Swasta,0,0,,2023-01-31 09:06:38,3,48,4,7,2,2,0,1
Jakarta Barat,Cengkareng,TK KARUNIA,69908067,TK,Swasta,0,0,,2023-02-15 16:53:27,2,17,2,2,2,3,0,0
Jakarta Barat,Cengkareng,TK KASIH BAGI BANGSA,69916110,TK,Swasta,0,0,,2023-01-31 11:31:08,3,24,2,5,2,4,0,0
Jakarta Barat,Cengkareng,TK KRISTEN CENDRAWASIH,20111037,TK,Swasta,0,0,,2023-02-17 18:36:08,2,20,2,2,1,1,0,0
Jakarta Barat,Cengkareng,TK KRISTEN TIARA KASIH,69870245,TK,Swasta,0,0,,2023-02-04 13:58:59,19,145,11,17,2,8,0,1
Jakarta Barat,Cengkareng,TK KURNIA,20112522,TK,Swasta,0,0,,2023-01-25 15:23:58,3,55,2,4,2,2,0,0
Jakarta Barat,Cengkareng,TK LAMAHOLOT,20111044,TK,Swasta,0,0,,2023-02-01 13:43:03,9,11,2,1,3,3,0,1
Jakarta Barat,Cengkareng,TK MAMAYU RAHAYU,69866582,TK,Swasta,0,0,,,0,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,TK MAWAR,69909449,TK,Swasta,0,0,,2023-01-27 08:49:53,1,26,2,2,2,2,0,0
Jakarta Barat,Cengkareng,TK MORI,20111066,TK,Swasta,0,0,,2022-08-30 04:40:15,0,0,0,3,2,0,0,0
Jakarta Barat,Cengkareng,TK MULIA KENCANA,20112489,TK,Swasta,0,0,,2023-01-26 10:05:21,4,47,3,3,2,7,0,0
Jakarta Barat,Cengkareng,TK MUSLIMAT 2,20177812,TK,Swasta,0,0,,2023-01-25 20:34:26,2,53,5,7,2,5,0,1
Jakarta Barat,Cengkareng,TK MUTIARA,20111071,TK,Swasta,0,0,,2023-01-20 11:35:28,3,50,3,4,2,5,0,0
Jakarta Barat,Cengkareng,TK MUTIARA IBU,69965551,TK,Swasta,0,0,,2023-02-17 22:54:22,1,20,3,3,2,3,0,0
Jakarta Barat,Cengkareng,TK NARADA,69870243,TK,Swasta,0,0,,2023-02-09 12:22:25,5,132,8,15,3,16,0,0
Jakarta Barat,Cengkareng,TK NURUL ISLAM (NURI),70015661,TK,Swasta,0,0,,,0,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,TK PELITA KASIH,20111099,TK,Swasta,0,0,,2022-11-16 12:51:33,0,0,0,2,1,0,0,0
Jakarta Barat,Cengkareng,TK PERMATA ASIH,69914090,TK,Swasta,0,0,,2021-09-11 00:19:11,0,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,TK Permata Bunda,69856706,TK,Swasta,0,0,,2023-01-19 10:21:11,3,17,2,2,1,3,0,0
Jakarta Barat,Cengkareng,TK PERTIWI,20177827,TK,Swasta,0,0,,2023-02-21 09:42:51,4,34,3,3,3,3,0,0
Jakarta Barat,Cengkareng,TK PRAKARSA ANISA,20111209,TK,Swasta,0,0,,2023-01-30 10:58:27,7,26,3,3,3,3,0,1
Jakarta Barat,Cengkareng,TK PUTRA XI,20111217,TK,Swasta,0,0,,2023-02-26 22:20:25,2,13,2,2,1,2,0,0
Jakarta Barat,Cengkareng,TK RAHMANI,20111220,TK,Swasta,0,0,,2023-02-21 15:34:36,1,33,2,3,2,2,0,1
Jakarta Barat,Cengkareng,TK REFORMASI,20111225,TK,Swasta,0,0,,2023-03-06 16:40:39,8,20,2,2,2,12,0,0
Jakarta Barat,Cengkareng,TK RIZKI JAYA SCHOOL,69862368,TK,Swasta,0,0,,2023-01-26 22:33:45,3,35,3,5,2,3,0,1
Jakarta Barat,Cengkareng,TK ROUDLOTUL QURAN,69934027,TK,Swasta,0,0,,2023-01-30 10:36:12,2,60,2,2,2,2,0,0
Jakarta Barat,Cengkareng,TK SAN DOMINGGO,69862369,TK,Swasta,0,0,,2023-03-02 11:42:17,3,16,2,3,1,2,0,0
Jakarta Barat,Cengkareng,TK SANTO LEO,20111251,TK,Swasta,0,0,,2023-01-30 11:05:07,2,58,4,5,2,5,0,0
Jakarta Barat,Cengkareng,TK SEJAHTERA,69929176,TK,Swasta,0,0,,2023-02-25 21:54:41,2,148,5,8,2,5,0,0
Jakarta Barat,Cengkareng,TK SERAPHINE BAKTI UTAMA,20111258,TK,Swasta,0,0,,2023-03-01 13:31:54,4,44,3,3,3,3,0,1
Jakarta Barat,Cengkareng,TK SETIA PERTIWI,20111260,TK,Swasta,0,0,,2023-03-08 08:55:37,4,24,2,2,1,2,0,0
Jakarta Barat,Cengkareng,TK STRADA DEWI SARTIKA II,20111269,TK,Swasta,0,0,,2023-02-07 09:02:10,4,88,6,6,4,9,0,1
Jakarta Barat,Cengkareng,TK TRINITAS,20111281,TK,Swasta,0,0,,2022-03-21 16:44:55,0,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,TK VIANNEY,69909377,TK,Swasta,0,0,,2023-02-09 09:45:30,3,31,2,3,2,3,0,1
Jakarta Barat,Cengkareng,TK WAWASAN NUSANTARA I,20111297,TK,Swasta,0,0,,2023-02-14 11:07:13,2,15,2,2,3,1,0,0
Jakarta Barat,Cengkareng,TK Yapmi Imanusakti,69953402,TK,Swasta,0,0,,2023-01-30 08:43:43,3,34,3,5,3,3,0,1
Jakarta Barat,Cengkareng,TK.PAH TSUNG,69891884,TK,Swasta,0,0,,2023-02-01 10:26:58,9,56,4,14,5,11,0,0
Jakarta Barat,Cengkareng,TKS ISLAM AL-KHOIRIYAH,69728388,TK,Swasta,0,0,,2023-02-06 10:10:31,3,21,2,2,2,2,0,0
Jakarta Barat,Cengkareng,KB NEGERI 07 CENGKARENG,69932668,KB,Negeri,0,0,,2022-09-07 15:14:59,0,0,0,2,1,0,0,0
Jakarta Barat,Cengkareng,PAUD AL-ISHLAH,69893998,KB,Swasta,0,0,,2022-12-25 22:45:54,0,0,0,4,1,0,0,0
Jakarta Barat,Cengkareng,PAUD An-Nahl,69790606,KB,Swasta,0,0,,2023-03-06 22:43:43,5,16,2,5,2,2,0,0
Jakarta Barat,Cengkareng,PAUD CERDAS BANGSA SCHOOL,69934688,KB,Swasta,0,0,,2022-12-21 16:27:21,0,0,0,2,1,0,0,0
Jakarta Barat,Cengkareng,Paud Imtiyaz,69856733,KB,Swasta,0,0,,2022-10-29 07:27:00,1,0,4,5,2,6,0,0
Jakarta Barat,Cengkareng,PAUD MAWAR,69832235,KB,Swasta,0,0,,2023-01-29 17:16:39,4,58,3,3,1,3,0,0
Jakarta Barat,Cengkareng,PAUD MUTIARA ILMU,69873601,KB,Swasta,0,0,,2023-02-22 19:12:43,3,77,4,2,1,4,0,0
Jakarta Barat,Cengkareng,PAUD NURTURE SPRING,69900600,KB,Swasta,0,0,,2022-08-27 13:08:07,0,0,0,7,1,0,0,0
Jakarta Barat,Cengkareng,PAUD Samudra,69790638,KB,Swasta,0,0,,2023-01-27 20:43:30,1,48,2,2,2,3,0,0
Jakarta Barat,Cengkareng,TK GROWING STARS,70000406,KB,Swasta,0,0,,2023-02-28 14:22:38,11,55,3,3,2,3,0,0
Jakarta Barat,Cengkareng,SPS NEGERI BALE BERMAIN KH HASYIM ASYÁRI,70002269,SPS,Negeri,0,0,,2023-03-01 10:06:15,3,80,4,3,2,4,0,0
Jakarta Barat,Cengkareng,BKB PAUD Tunas Harapan,69832312,SPS,Swasta,0,0,,2023-02-06 00:11:53,2,17,3,3,2,4,0,0
Jakarta Barat,Cengkareng,BKB-PAUD MELATI 09,69971262,SPS,Swasta,0,0,,2023-03-06 21:33:19,2,65,3,2,1,3,0,0
Jakarta Barat,Cengkareng,PAUD Al-Barokah,69832316,SPS,Swasta,0,0,,2023-01-31 09:00:37,3,41,3,3,3,4,0,0
Jakarta Barat,Cengkareng,PAUD AL-BATHUL,69905491,SPS,Swasta,0,0,,2023-02-11 15:12:11,1,100,5,5,2,5,0,0
Jakarta Barat,Cengkareng,PAUD Alkhoiraat,69832314,SPS,Swasta,0,0,,2023-02-03 20:19:55,1,61,3,3,1,3,0,0
Jakarta Barat,Cengkareng,PAUD Ananda,69832306,SPS,Swasta,0,0,,2023-02-02 11:17:57,9,46,4,4,2,4,0,0
Jakarta Barat,Cengkareng,PAUD ASSHOFA,69832313,SPS,Swasta,0,0,,2023-02-19 18:59:06,4,66,3,3,2,4,0,0
Jakarta Barat,Cengkareng,PAUD BUNDA KARTINI,69856800,SPS,Swasta,0,0,,2023-02-05 09:45:49,2,16,1,1,2,2,0,0
Jakarta Barat,Cengkareng,PAUD Bunga Cengkareng,69810977,SPS,Swasta,0,0,,2023-01-29 17:25:16,2,22,3,3,2,3,0,0
Jakarta Barat,Cengkareng,PAUD Cempaka,69832311,SPS,Swasta,0,0,,2023-03-03 19:14:51,4,28,2,2,3,2,0,0
Jakarta Barat,Cengkareng,PAUD CINTA KASIH IBU,69856797,SPS,Swasta,0,0,,2023-01-17 23:14:08,2,42,3,3,2,4,0,0
Jakarta Barat,Cengkareng,PAUD DAARUL MA RIFAH,69944366,SPS,Swasta,0,0,,2023-02-07 07:44:59,2,57,2,2,1,2,0,1
Jakarta Barat,Cengkareng,PAUD ECCLESIA,69990752,SPS,Swasta,0,0,,2023-02-02 15:02:54,6,32,3,6,0,6,0,0
Jakarta Barat,Cengkareng,PAUD Flamboyan,69832323,SPS,Swasta,0,0,,2023-02-26 11:55:40,2,46,2,2,2,2,0,0
Jakarta Barat,Cengkareng,PAUD GEMILANG,69865831,SPS,Swasta,0,0,,2023-02-26 21:54:48,6,45,3,1,2,3,0,0
Jakarta Barat,Cengkareng,PAUD KARYA UMMAT,69832308,SPS,Swasta,0,0,,2023-02-08 13:44:11,8,26,3,3,2,1,0,0
Jakarta Barat,Cengkareng,PAUD KASIH CERIA,69865832,SPS,Swasta,0,0,,2023-02-10 13:04:40,4,46,1,1,2,3,0,0
Jakarta Barat,Cengkareng,PAUD Kencana,69832317,SPS,Swasta,0,0,,2023-02-22 13:21:55,3,55,3,3,1,3,0,0
Jakarta Barat,Cengkareng,PAUD Kitta,69856802,SPS,Swasta,0,0,,2022-08-01 13:26:05,0,0,0,2,4,0,0,0
Jakarta Barat,Cengkareng,PAUD Lestari,69832326,SPS,Swasta,0,0,,2022-12-26 10:19:30,0,0,0,3,2,0,0,0
Jakarta Barat,Cengkareng,PAUD Lestari Indah,69832320,SPS,Swasta,0,0,,2023-02-27 20:24:53,9,111,5,5,3,3,0,0
Jakarta Barat,Cengkareng,PAUD MANGGA UBI,69864586,SPS,Swasta,0,0,,2023-02-10 14:25:08,6,43,2,3,3,4,0,0
Jakarta Barat,Cengkareng,PAUD Mawar,69856803,SPS,Swasta,0,0,,2023-02-28 06:23:56,1,19,2,1,3,1,0,0
Jakarta Barat,Cengkareng,PAUD Mawar,69832325,SPS,Swasta,0,0,,2023-02-11 23:14:42,2,0,3,3,3,3,0,0
Jakarta Barat,Cengkareng,PAUD Mekar,69832315,SPS,Swasta,0,0,,2023-01-31 11:04:15,2,25,2,3,1,1,0,0
Jakarta Barat,Cengkareng,PAUD MELATI,69908923,SPS,Swasta,0,0,,2023-03-08 14:25:16,4,56,4,4,2,2,0,0
Jakarta Barat,Cengkareng,PAUD Melati 06,69856806,SPS,Swasta,0,0,,2023-02-13 20:04:59,6,47,4,4,2,2,0,0
Jakarta Barat,Cengkareng,PAUD Mentari Ceria,69832318,SPS,Swasta,0,0,,2023-01-31 10:34:17,4,96,6,6,5,7,0,0
Jakarta Barat,Cengkareng,PAUD Motekar,69879432,SPS,Swasta,0,0,,2023-03-05 17:05:01,8,77,5,6,1,6,0,0
Jakarta Barat,Cengkareng,PAUD MUTIARA,69832321,SPS,Swasta,0,0,,2023-01-31 11:36:35,2,49,4,4,1,3,0,0
Jakarta Barat,Cengkareng,PAUD NURUL FITRI,69832309,SPS,Swasta,0,0,,2022-12-06 17:47:28,0,0,0,3,2,0,0,0
Jakarta Barat,Cengkareng,Paud Nurul Hilal,69856796,SPS,Swasta,0,0,,2023-02-03 19:12:54,4,72,4,3,1,4,0,1
Jakarta Barat,Cengkareng,Paud Nurul Qomariyyah,69954613,SPS,Swasta,0,0,,2022-10-21 11:15:32,0,0,0,1,2,0,0,0
Jakarta Barat,Cengkareng,PAUD Palupi Jaya,69832327,SPS,Swasta,0,0,,2022-12-05 05:30:13,0,0,0,3,3,0,0,0
Jakarta Barat,Cengkareng,PAUD Pelangi Indah,69832319,SPS,Swasta,0,0,,2023-01-30 21:06:52,4,58,2,3,2,2,0,0
Jakarta Barat,Cengkareng,PAUD PUSPA,69856804,SPS,Swasta,0,0,,2022-08-29 22:26:53,0,0,0,3,2,0,0,0
Jakarta Barat,Cengkareng,PAUD ROS INDAH,69857650,SPS,Swasta,0,0,,2023-02-27 19:20:26,3,89,4,5,3,4,0,0
Jakarta Barat,Cengkareng,PAUD RUMAH TEKKO,69911630,SPS,Swasta,0,0,,2023-01-19 12:40:08,3,54,2,1,2,1,0,0
Jakarta Barat,Cengkareng,PAUD SEROJA,69981629,SPS,Swasta,0,0,,2023-01-27 13:08:49,2,50,3,2,2,3,0,0
Jakarta Barat,Cengkareng,PAUD SUROJO WAL IMAH,69892465,SPS,Swasta,0,0,,2021-08-12 17:49:26,0,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,PAUD TERATAI BUNAYYA,69873600,SPS,Swasta,0,0,,2023-03-08 19:33:46,0,0,0,6,2,0,0,0
Jakarta Barat,Cengkareng,PAUD TUNAS AL-FATIH,69993129,SPS,Swasta,0,0,,2023-03-05 01:44:15,4,63,4,3,2,5,0,0
Jakarta Barat,Cengkareng,PAUD Tunas Pelita,69856807,SPS,Swasta,0,0,,2023-03-04 23:42:12,3,107,8,5,3,6,0,0
Jakarta Barat,Cengkareng,PAUD Wijaya Kusuma,69856805,SPS,Swasta,0,0,,2022-08-29 20:35:43,0,0,0,4,3,0,0,0
Jakarta Barat,Cengkareng,Pos Paud Melati Indah,69856799,SPS,Swasta,0,0,,2023-03-07 11:53:34,6,87,4,5,2,5,0,0
Jakarta Barat,Cengkareng,SPS ASY-SYIFA,69866153,SPS,Swasta,0,0,,2022-12-20 12:06:02,0,0,0,1,1,0,0,0
Jakarta Barat,Cengkareng,SPS DAHLIA,69879429,SPS,Swasta,0,0,,2022-08-26 19:57:57,0,0,0,3,1,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD AL MADANI,69970095,SPS,Swasta,0,0,,2022-08-25 14:46:24,0,0,0,5,2,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD AL-JUNDI,69972290,SPS,Swasta,0,0,,2022-08-27 23:25:44,0,0,0,2,1,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD BAITUL HUDA,70036848,SPS,Swasta,0,0,,,0,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD CAHAYA PRIMA,69832240,SPS,Swasta,0,0,,2023-01-29 16:35:43,2,77,4,4,2,4,0,0
Jakarta Barat,Cengkareng,SPS PAUD DELIMA,69973131,SPS,Swasta,0,0,,2023-02-03 20:01:15,2,20,2,3,1,1,0,0
Jakarta Barat,Cengkareng,SPS PAUD DUTA RISMA,69973018,SPS,Swasta,0,0,,2023-01-20 10:23:48,5,32,3,3,1,3,0,0
Jakarta Barat,Cengkareng,SPS PAUD IBNU RUSYD,69790622,SPS,Swasta,0,0,,2023-02-03 12:26:15,3,82,6,6,1,6,0,0
Jakarta Barat,Cengkareng,SPS PAUD INDI,69973125,SPS,Swasta,0,0,,2023-01-30 09:16:25,4,23,3,2,3,3,0,0
Jakarta Barat,Cengkareng,SPS PAUD ISLAM AT-TAUHID,69866152,SPS,Swasta,0,0,,2022-08-29 23:38:39,0,0,0,2,1,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD JANNATUSSIBYAN,69790635,SPS,Swasta,0,0,,2023-02-13 12:04:04,4,61,3,3,2,4,0,0
Jakarta Barat,Cengkareng,SPS PAUD KANAYA,70015265,SPS,Swasta,0,0,,2022-12-02 22:39:46,0,0,0,1,2,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD LIMA CAHAYA,69961444,SPS,Swasta,0,0,,2023-01-18 13:34:58,3,45,4,4,1,2,0,0
Jakarta Barat,Cengkareng,SPS PAUD MELATI 05,69969914,SPS,Swasta,0,0,,2022-07-28 22:25:58,0,0,0,4,1,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD NUSANTARA,69937636,SPS,Swasta,0,0,,2023-03-03 13:19:39,2,54,4,4,3,3,0,0
Jakarta Barat,Cengkareng,SPS PAUD PELANGI,69968478,SPS,Swasta,0,0,,2023-02-09 19:56:20,2,20,3,2,1,3,0,0
Jakarta Barat,Cengkareng,SPS PAUD PETA,70010628,SPS,Swasta,0,0,,2023-01-26 09:51:20,2,29,2,2,1,2,0,0
Jakarta Barat,Cengkareng,SPS PAUD PUSPA INDAH,69892642,SPS,Swasta,0,0,,2023-01-27 19:57:11,2,24,2,1,2,2,0,0
Jakarta Barat,Cengkareng,SPS PAUD RUBEL KINDERGARTEN,69970125,SPS,Swasta,0,0,,2022-08-29 20:27:36,0,0,0,3,2,0,0,0
Jakarta Barat,Cengkareng,SPS PAUD SALSABILA,70015724,SPS,Swasta,0,0,,2023-02-02 11:42:51,1,21,2,3,1,1,0,0
Jakarta Barat,Cengkareng,SPS PAUD SERENITY SMART KIND HAPPY,70014443,SPS,Swasta,0,0,,2023-03-03 15:48:45,6,70,9,4,2,6,0,1
Jakarta Barat,Cengkareng,SPS PAUD SERUNI,69866154,SPS,Swasta,0,0,,2023-02-11 09:42:12,9,38,4,3,4,3,0,0
Jakarta Barat,Cengkareng,SPS Paud Surya Kasih Daan Mogot,69932554,SPS,Swasta,0,0,,2023-03-08 09:30:45,3,67,4,4,1,4,0,0
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 01,20105145,SD,Negeri,2019,91,A,2023-02-23 15:23:03,11,629,21,25,7,11,0,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 03 PG,20102023,SD,Negeri,2019,94,A,2023-02-20 08:36:22,12,317,11,15,5,10,1,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 04 PTG,20102022,SD,Negeri,2018,91,A,2023-03-06 11:44:57,8,241,9,11,5,10,0,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 05 PG,20105149,SD,Negeri,2022,93,A,2023-03-06 07:11:05,12,521,18,24,6,18,2,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 07,20105151,SD,Negeri,2019,94,A,2023-03-06 14:53:24,23,615,20,23,6,20,2,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 09 PG,20105153,SD,Negeri,2019,93,A,2023-03-07 08:02:50,6,343,11,15,4,11,1,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 10 PG,20105154,SD,Negeri,2018,92,A,2023-02-20 09:31:57,5,284,9,15,5,17,1,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 11,20102044,SD,Negeri,2018,92,A,2023-03-06 13:56:52,10,486,17,24,5,18,2,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 13 PG,20105157,SD,Negeri,2018,91,A,2023-02-22 14:57:07,5,319,13,15,4,9,2,1
Jakarta Barat,Cengkareng,SD NEGERI CENGKARENG BARAT 14 PAGI,20105158,SD,Negeri,2022,92,A,2023-02-20 16:12:53,9,316,10,11,4,8,1,1
